Context Size,Eval Time Line
2,"llama_print_timings:        eval time =    3696.38 ms /    24 runs   (  154.02 ms per token,     6.49 tokens per second)"
4,"llama_print_timings:        eval time =    2893.71 ms /    24 runs   (  120.57 ms per token,     8.29 tokens per second)"
8,"llama_print_timings:        eval time =    2768.55 ms /    24 runs   (  115.36 ms per token,     8.67 tokens per second)"
16,"llama_print_timings:        eval time =    2597.52 ms /    24 runs   (  108.23 ms per token,     9.24 tokens per second)"
32,"llama_print_timings:        eval time =    2751.30 ms /    24 runs   (  114.64 ms per token,     8.72 tokens per second)"
64,"llama_print_timings:        eval time =    6153.33 ms /    56 runs   (  109.88 ms per token,     9.10 tokens per second)"
128,"llama_print_timings:        eval time =   13714.12 ms /   120 runs   (  114.28 ms per token,     8.75 tokens per second)"
256,"llama_print_timings:        eval time =   27820.17 ms /   248 runs   (  112.18 ms per token,     8.91 tokens per second)"
512,"llama_print_timings:        eval time =   56143.02 ms /   504 runs   (  111.39 ms per token,     8.98 tokens per second)"
1024,"llama_print_timings:        eval time =  113631.29 ms /  1016 runs   (  111.84 ms per token,     8.94 tokens per second)"
2048,"llama_print_timings:        eval time =   63719.13 ms /   570 runs   (  111.79 ms per token,     8.95 tokens per second)"
4096,"llama_print_timings:        eval time =  483491.65 ms /  4088 runs   (  118.27 ms per token,     8.46 tokens per second)"
8192,"llama_print_timings:        eval time =   89668.86 ms /   663 runs   (  135.25 ms per token,     7.39 tokens per second)"
16384,"llama_print_timings:        eval time = 2333436.79 ms / 16376 runs   (  142.49 ms per token,     7.02 tokens per second)"
